ID,Description,Source,Name,Form_ID,Comment,Doubt
181,"stun, kill",,181,pmv-4d4ee0dbf53957623b3490e1a74d5f85-1,"We reconstruct {*-i} since {-e} is the most common unaccented
ending and the class into which many verbs are regularized.",
188,strike (2),,188,pmv-787168b07042f51d518346cc48af4e3b-1,,
189,strike (1),,189,,,
190,stretch (3),,190,psi-737c41899a4a6517c57aa58fd9463a42-1,,
194,straight,,194,pmv-7cf5b6c88a582800766da63720a914b8-1,,
196,stop (2),,196,pmv-e481998530acaf48470a0763ec8e0fd6-1,,
212,star (3),,212,psi-7f4b98438e1b99ff6377116cd4effaa5-1,Basically a set of leftover but possibly related forms.,
240,spread > flat (4),,240,pmv-9e566fef6890c99b1315f74b6a27ccf7-1,"Comparison of this with the several forms meaning ‘spread’ strongly
suggests that this term had vowel length.",
218,stagger,,218,pmv-84433e49ffb518f900f2cabe54d94309-1,,
227,squeeze (7),,227,psi-2677837bb7daa617c1cdabb9ace670a3-1,,
243,spread > flat (1),,243,psi-057abe8e16b9a92425ce2d2254ebdbe5-1,"Comparison of this with the several forms meaning ‘spread’ strongly
suggests that this term had vowel length.",
245,spread (2),,245,pmv-538d8ae428c6aeb8fd8fe27ce3a2d0d5-1,,
246,spread (1),,246,pmv-445ef317237ea1019c62d52315afc7ea-1,"Comparison of this with the several forms meaning ‘spread’ strongly
suggests that this term had vowel length.",
255,split (5),,255,pmv-bdd4d68b8e0ce3d3e65e5e781c683ff8-1,,
257,split (3),,257,pmv-b70c3a3eeb65ac0fbcef9c3a9461c988-1,"RR Cf. the other two fricative symbolism grades. Morphemic segmentation
is done on the basis of the {s} forms, q.v.",
258,split (2),,258,pmv-93ae4f8a4594062a12ff66e422bd201e-1,"Cf. the other two fricative symbolism grades. Morphemic segmentation
is done on the basis of the {s} forms, q.v.",
274,son-in-law (2),,274,psi-c369fed36fba346a22ba0738e92ce60a-1,,
278,"son, first or eldest",,278,pmv-6b73ec1f9a3fba8b9acf1c5aae0a54a4-1,"Nasalization of the possessive prefix is irregular but apparently
widespread, occurring as it does in both subgroups in which the term is
attested. Some sort of assimilation at a distance, while possible, is not an
explanation. The restricted nature of this term suggests an areal origin.",
281,something (1),,281,pmv-3ebcac2eecce1aa3a59cd3f905061494-1,,
283,soldier,,283,pmv-fd75fdaab26cd1b7685a0b60ea23a1da-1,,
284,soft (3),,284,psi-215173cec1297857e7ab00e6466e7080-1,,
287,"soak, spill (1)",,287,pmv-0bc0afcd926501798720057608a437ba-1,,
269,sour (3),,269,pmv-feef67d606e24301f08f3f2de6bcaaca-1,"Cf. ‘**1084**’, ‘dry (?)’",
297,smooth (1),,297,pmv-a8816c4a61b7189fc3756c531b2b5601-1,,
303,slip (5),,303,psi-b9972acd980cc9148b388d8e121d9664-1,,
306,slip (2),,306,pmv-b618d4b388cc3d2e944241a77366e94a-1,,
307,slip (1),,307,pmv-c608616add9a7e728d44212e050ffb96-1,,
301,slow,,301,pmv-4e3cb5a4cc26ca86284429fc39755b53-1,Cf. the homophone ‘**84**’.,
310,slide (2),,310,psi-4cd93b9ac5c8a1163e2837beb933f292-1,,
311,slide (1),,311,pmv-6bfbb38ba65c65ce541adc09c6239e5c-1,,
318,skim (2),,318,pmv-bc53932e45ee9965d32823e282298afe-1,,
333,sinew,,333,psi-817b9479d6165f906a0a2b590963930f-1,"This term may have been inherently possessed and borne the prefix
{i-}. This would account for position of the accent but should have
produced vowel length.",
334,similitive,,334,psi-5e2033fef2f577a4876f8cb61999b592-1,,
335,similar,,335,psi-6151684c310c0df31094b1120afa3023-1,,
336,side (2),,336,psc-7e268843691193a6b021d51d84c0726e-1,,
338,show,,338,psi-fa4b56f3149e7c3df6981b3d988fbc5c-1,,
339,shout,,339,psi-b6d2db0d059ee2bdcdd4fec9ae11c16e-1,"This term may be considered to involve sound symbolism, cf. English
‘shriek’. This is true of dozens of Siouan terms with the shape {*SrV-}.",
342,short,,342,pmv-9be35d228b680ec9e92d0f4c0b9fef2e-1,"The DH forms derive from {*tap} + {*-ka} ‘qualifier’, with the
usual DH {*pk > *kp > hp = pp}. Note the use of palatalization to create
diminutive variants. The root is restricted to MVS.",
351,shell > spoon,,351,,"The initial aspiration in MVS implies an earlier but now missing
initial syllable. There is evidence that this term is widely borrowed, cf.

Choctaw {shaⁿha toba} ‘oyster shell’ (|toba|) < Proto-Musk. {*tokwa}.

Iroquoian Moh. {atókwa}; Onei. {atókwat}; Onon.

{ató:kwat}; Sen. {atókwa-}; Huron |estoqua|, Mithun, p.277. All are
‘spoon, ladle’. So the missing initial may simply have been
{a-}. The word may represent a relatively early borrowing throughout
Siouan.  The vowels do not match properly, nonetheless, it does seem to be
reconstructible at the subgroup level.",
361,shake (2),,361,pmv-40a8cdb7b0ea29dee58393cc76adb25b-1,,
362,shake (1),,362,pmv-c694f4a9a2c8851877ec2e210a461149-1,,
369,separate (5),,369,pmv-f3c0929e104068c64405aae1e1f60034-1,,
385,"scrape > scrape around, heap up",,385,pmv-e09c967c2b422134d796b408cd50d407-1,,
386,scrape > peel,,386,psi-48b9f34932461eda3a20e642268f0a45-1,,
387,"scrape > dig, scratch",,387,psi-4540be1f5df25619b3ed974c577fd059-1,"This form is most likely related derivationally to the similar
term with {e} in place of {a}.",
391,scrape (1),,391,psi-901bf9da4cae0e7bddd433f58daafbe2-1,,
393,scatter (1),,393,pmv-d13ecd28a168d16d947e378c0250e887-1,,
409,rub (1),,409,pmv-584189651d9ccb001dbf0ae6963c3228-1,Cf. ‘**776**’,
415,rough (2),,415,pmv-fe14051bbdadb43f4d00abc7a538d8ba-1,,
416,rough (1),,416,psi-b30d1d55922a26a69dc8dd0c6e1d8142-1,,
417,roll,,417,psi-9831b47fbb8eefc8a33d57ab01253915-1,"This set and reconstruction are extremely tentative, but interesting
since it would be another {*-he}.",
423,roast (2),,423,pmv-4d6589b9bd3f42b6246805360bd2ac80-1,,
425,road (2),,425,pse-91c09be9ec8891b542a3fa1075f9ca8f-1,,
443,"rattle, rumble",,443,psi-be305c019030e1365237231ee849eafb-1,,
444,rattle (2c),,444,psi-70551fa9d66f1e6063996ff3c35a99e8-1,,
445,rattle (2b),,445,psi-9489e133d1ce236e60ab9b2617bbd49b-1,,
446,rattle (2a),,446,psi-3a4f6921ee72070d249c4cd62c80cc34-1,,
447,rattle (1c),,447,psi-d1fafc518db177574945af8506f0726e-1,,
448,rattle (1b),,448,psi-ad0def553b5aa57936cc2e7f5f94a5b2-1,,
512,open up,,512,psi-93c1628a3b58144bbfb43a034bad2e05-1,,
513,open > break open,,513,psi-e3b3793bfe66ba4f73a97b0acf8a3269-1,,
1043,break off (3),,1043,pmv-4193d1f75df03b975f90767eedbc4aa6-1,,
456,quantifier (2),,456,psc-2c5eada9680a440f4c3d0703f639a870-1,All DH examples occur in nasalizing contexts but appear to be cognate.,
457,quantifier (1),,457,psi-3fb549cca51995d85d85d24de41287e7-1,,
472,precipitate,,472,pmv-9c84d3f576dfe78cbeb80434e9861d33-1,,
481,"pole(s), lodge",,481,pmv-89e1cf94e11a3329afc5cc64fc4cad46-1,,
482,point at,,482,psi-4da3abdf16bbe7a4b152a242c9923791-1,,
488,pinch (2),,488,psi-d1480842af2c86d63df02a48a0516623-1,,
490,pierce,,490,pmv-81dcc6357aac6bb40cf802a61afd58af-1,,
491,pick fruit,,491,pmv-007a3bce017363678ae5f9cdd23c98e3-1,,
517,"one of a pair, another",,517,pmv-8fba8413b260f0b3b834077ba96adcdf-1,,
494,penis,,494,psi-67820050cf27dba627c99862bea5e0c9-1,,
500,peel (2),,500,psi-ccf2134591c541a04a74372aec124fab-1,"The {š} forms appear to refer to the removal of particulate matter,
scales, kernels, pieces, etc. rather than peel per se.",
501,peel (1),,501,psi-03b8fe155a57232d370dce53128866da-1,,
502,peek,,502,psi-1f95ce228bdb7053fd55b8c8c5b6890b-1,,
508,outside,,508,psc-0b86d044a3f817791fd7d094411ccc6a-1,,
493,permit,,493,pmv-7201a2f329d88600b598c35a454bf8a6-1,**PDA** {*y} and **CH** {w} are epenthetic following loss of **PMV** {*h}.,
522,"old, mature",,522,psi-54d1829affbbb5321de9019a78f41249-1,,
523,"old, Ancient of - (Suffix)",,523,pmv-f6dda2a28fc95dde89bccf8c98521e70-1,"This is probably a contraction of (or root from) {*rą-}
{old, mature}.  Apparently always unstressed, {-ną} would represent a
grammaticalization whatever its source.",
524,old man,,524,psi-39df0a8d37f1c538311a8a9699b92045-1,,
530,nudge,,530,psi-64669d6f9d1a689c359f39df82359b49-1,,
531,now,,531,pmv-4bea4b31c83bb80eb1f2903f526a207a-1,"The MVS cluster {*rh} is virtually always secondary as far as we
can tell, and the normal syncope of the initial, short unaccented syllable
in that subgroup would yield the correct sequence, {*rVhą́• > *rhą́•}.",
43,"whistle (1), chirp",,43,psi-9ef2921be2d73b035541e7835b4c408e-1,"**OP** and **KS** disagree on fricative voicing.  **OS** voicing is unmarked
in LaFlesche.  Different subgroups show different extensions.",
538,new (2),,538,pmv-c6ecb4f159566d13ad46e8e1ded3fceb-1,,
539,new (1),,539,psi-03c5ad21a57d5186c31df9826f711ee2-1,,
535,nine,,535,psi-f25a225c5bd8e691dec4bda53c602a91-1,The recorded **CH** forms imply different underlying sibilants. **PSI** |*š|,
559,mourn,,559,pmv-53ea21acd1aa5af8a3f525f8e5c4b73f-1,,
571,mix (2),,571,psi-a0d6eed934400bccd6146e66695527ce-1,"The root is {*-hihe} typically used with the prefix {*í•-} with
frequent addition of {*raka} ‘by striking’ in MVS.",
572,mix (1),,572,pmv-f904abbe095f6b8559fa349b4088a814-1,,
573,miss,,573,pmv-cf423fc080953b274f7a4264f3660187-1,,
724,hat,,724,pma-a3a85bbac595d45e5dbea15bc38f6b3c-1,It is not clear that these forms are cognate.,
584,marrow,,584,psi-50c3dfe76abdedf69c40f7fb80d85884-1,,
585,"marked > spotted, striped (3)",,585,psi-ff147bb86d2bb8027e32c415f7873807-1,,
589,maple,,589,,"Frequent rendering by descriptive terms such as ‘black dye tree’, or
‘blue dye tree’, etc. is common.  Parallel derivation here is high but
cognacy is low to nonexistent.",
595,make hole,,595,psi-cda1c6ffa9fdce8baf89f3b7735bc1eb-1,,
599,lost,,599,psi-d20b1b4448a6f16b1ec3b74583d30ac2-1,,
600,"loose, knock loose",,600,psi-1ebc6fc0471eccb2ce3c7ce521a2b805-1,,
601,loon,,601,,,
602,"look into, peek",,602,pmv-bacb8f812f687313f4d26363be19142f-1,,
603,look at (2),,603,pmv-b495a454040f4bf1b27fcca0d2657ff5-1,,
604,look at (1),,604,psi-ad8c8b87d6d283ae7380d228de1f55a0-1,,
614,locative (5),,614,psi-2a9deaad9b4cd9dd2f95fd1a0f21b4ea-1,,
615,locative (4),,615,psi-60ed0a38aa864f34ebf04e3426e7f6b7-1,Vowel length in some of the MRS forms is not accounted for.,
616,locative (3),,616,ca-d53384d738eeffb2d6fd0bd8ebba65ee-2,,
617,locative (2),,617,pmv-f0bdd083f0f1a811a2272475894ea195-1,,
618,locative (1),,618,ca-efccddf600d911ba4e393e8090936649-1,,
622,lip,,622,psi-084c999ec1992ab0800383b85ab7cb11-1,,
45,when,,45,,"**HI** {tua} is from earlier {*tuha}, presumably reflecting inherited
{**tohą} with regular raising of {o} and reduction of {uha} to
{ua}.",
630,leggings,,630,psi-b1017a271a9708a8f52ec36c63164a51-1,,
632,left (side or hand),,632,psi-7bbc877b332bec0d0a71f0dcc14c98f6-1,"Dakotan forms suggest the influence of |*i-| possessive in ‘left hand’;
thus |*r > *y|.",
640,know (3),,640,,,
641,"know (2), recognize",,641,psi-3fa3fb0562906ee686d0f941e2a9f5bb-1,,
643,"knock over, lean",,643,psi-53d3ab3476b9e49f06baa26120e38bcc-1,,
46,what size,,46,psi-3b1d40c50ba15c494c424726d7d41049-1,"Cf. ‘**457**’. Resonant behavior
in **KS** and **OS** is different from that reflected in ‘**457**’, suggesting
that the resonant is/was an intrusive glide.  If organic, the resonant
should be |n|.",
665,interrogative (2),,665,ca-bea311bdd1dd5eaf33d3e03d7469295a-3,,
666,interrogative (1),,666,psi-31671b8ab4add6285fccfbc39e0dcd84-1,,
667,indefinite/interrogative (3),,667,pmv-8e05c061df808d36da307be921735f27-1,,
675,humpbacked,,675,pdh-ae9967fae35f2c9fdf9360f508b44954-1,"While there is nothing directly reconstructible here, there is clearly
a sound-symbolic relationship between the forms found in the represented
subgroups. One is reminded of Sapir’s famous paper on abnormal speech types
in Nootka.",
659,itch (2),,659,,The **HI** form may represent an assimilation from {*xari-}; cf. ‘**660**’.,
683,hook,,683,pwc-b4df290e7f02637a58667ad429a0c19f-1,A very weak cognate set.,
685,"hollow, empty (1)",,685,psi-1ecb314b738be9c8aa1d64f3b3f363a8-1,This stem is too poorly attested for a really secure reconstruction.,
686,"hollow, concave",,686,pmv-d7bd6edf8a00d2dc96c40ee122176ebf-1,,
687,"hollow, a hole",,687,pmv-a5bbde2a84ac94a9a7e6bf792bdc6de0-1,,
689,"hole, hollow",,689,psi-09837e4e879ad9eb32f39ddd0b0bca96-1,,
691,hole,,691,pmv-1e2b525587e7d92b46ff400517216f1a-1,,
693,hold back,,693,pmv-d83b6c349c80a4317c76180fcc84a8bf-1,,
697,hiss (3),,697,psi-10a4a35eddef3b4c4a19b9ac4bd37078-1,,
698,hiss (2),,698,psi-c61d932375f688e5b401ddf5b2d10e56-1,,
701,"hide, skin, cloth",,701,psi-4156528a9ba1f8b05e4c7964daec3900-1,,
706,"here, now",,706,psi-54f44ce69666cfe8f23797af5f17a720-1,,
707,help,,707,,The forms may not be cognate.,
47,weigh,,47,pmv-c27780c61d31e28aaa3e623cbb80a4c8-1,"The **LA** form may be related, at least in part, to the **CH**/**WI** forms, but
much of the term is non-cognate.",
684,"hollow, empty (2)",,684,,Cf. ‘**1061**’.,
711,heat,,711,psi-32b807f3a1a800db6ddd04270e206a48-1,,
723,haul,,723,pmv-e6572a2a352aafd6b8ab4e25fb26f530-1,"This is not a particularly satisfying set since so many different
elements are compounded.",
731,hang down (1),,731,psi-f841e79842fb5ebf987be6c85d5bcabe-1,,
279,son,,279,psi-b718cb7dc70f0e93c573f687448259f8-1,"**CH** again shows incomplete merger of **PSI** |*r| and |*y| here, while
**WI** merges the two completely. This term is a possessed extension of ‘**620**’,
q.v.",
744,"growl > snore, snort",,744,psi-b394edf53a01722d4bafa447dea04912-1,,
748,groove,,748,psi-47460939dcdde4143e86d7f715c51512-1,,
760,grass (1),,760,psi-8bdd38cac42f1eae53c78710eba5f035-1,,
770,good (3),,770,psi-e22f7b88e115fd25033f119f63923845-1,,
773,go vertitive,,773,psi-71a8b1ec378362b0bb83d9add1e36214-1,,
769,"good (4), heal",,769,psi-4fb18639a93337b9fef0dbbfaefc4828-1,Spirant grade suggests that **HI** is a borrowing from **MA**.,
781,gesture,,781,pmv-9ea730044c951b07e299c826a8519176-1,,
782,general deictic (2),,782,psi-bf95059b9de2cabf727e68c7ae9feaf8-1,,
784,gather (3),,784,psi-5d591bb007d45b1fd72e4bc7d3e863a5-1,,
788,future (2),,788,,,
789,future (1),,789,psi-c155c1e0b14838840b74633fa8c702f2-1,,
795,frog (3),,795,psi-5d1a7982dbaa3b8c8c2854ebe5fd1fc8-1,"There is no evidence for a specific prefix vowel here.  The prefix may
have been |*wi-| as with most other animals or |*wa-| the general
absolutive.",
799,friend (3),,799,,"These strikingly similar SE forms are not obviously cognate.  The set
suggests diffusion.",
800,friend (2),,800,,These forms may be derivationally related but are not clearly cognate.,
801,friend (1),,801,pmv-3a32467a1be55892464825a6bd41e993-1,"Cf. Mobilian trade jargon: |mogula, mukula| ‘friend’, Crawford p. 85. It
appears that look-alike forms have diffused widely, cf. also Choctaw “kana”
‘friend’ (Swanton and Byington 222b), |ikhana| ‘know’ (RR) and Algonquian
|niihkaana| ‘my friend’, |*n-iiθ-kan-a| ‘brother, fellow’ (Callander
1962:121). The Mobilian form shows that Siouan languages contributed to the
diffusion stock.  There are three different intervocalic consonants
represented here, and we have no idea how this situation arose.",
304,slip (4),,304,pmv-88a522136f331c2fe23a625c9b2417fc-1,"The languages with cognates do not show reflexes of vowel length, so
that feature cannot be reconstructed. But cf. {-xru} ‘push
through’, which lacks vowel length in **WI**.",
805,forest,,805,pmv-3a3b7b39d6c139d45cbde449dfbf8978-1,,
806,forehead (2),,806,pmv-32fded72ea4df2110f47043f1d2c33bb-1,,
322,"sister-in-law (2) wHuSi, wBrWi",,322,psi-5fb67b76f16cba2377477455a59273c7-1,"RR **BI** has undergone syncope. The Dakotan forms are not directly
relatable at present < |šíke + hą|.",
839,find by chance,,839,pch-c5f8093466c66b1d2e31f91b70678b94-1,,
871,"emphatic, contrastive, but",,871,psi-d86f60ffef86aff11d657e38ff65b167-1,,
848,"fat, tallow",,848,psi-a551d169d33437b82c174874d842353a-1,,
850,fart,,850,psi-b988d69642477279ef6103b965af965c-1,,
851,"far, towards, into",,851,,Cf. |tka|.,
855,fall (2),,855,psi-0ec47a732d96940185a024be066ec7c9-1,,
857,"fail, be unsteady",,857,pmv-48fa308d54144587f69380eed595f7dc-1,,
862,even (2),,862,psi-35278d4a802abede32ccb2e6ebb19a37-1,,
863,even (1),,863,psi-fd714c625e2dbfdeaf48733d11a161c4-1,Dakotan nasalization is unexplained.,
867,enter (1),,867,psi-8890e56d49c0df5d8debb85006628759-1,,
751,grind,,751,psi-47e5a5786327dc837ad73ce8effd58a8-1,"The **KS** term {ya{ttó}xe} ‘crack sth. between the teeth’ is
related but carries a different root extension.",
879,edge,,879,pmv-ed280481692413dd7adb23621b8332bf-1,,
880,eat,,880,psi-d577d13dc0f1f1a457ebe4688ce7ef71-1,,
892,drip (3),,892,psi-0c716694b451194916775d65546f9397-1,,
897,"dress, skirt, etc.",,897,psi-fea1722a157d20d84ac6e14c105e7333-1,"Wichita |rhincʔa| ‘clothing from the waist down’ (DSR) suggests possible
borrowing into that language.",
908,directional locative,,908,psi-6c78627452433f0c5c61e7d4cad79978-1,,
909,dig out,,909,pmv-d7bc3d448906bf83202199aa746bef9c-1,,
928,darkness (3),,928,psi-fe177e3127b09af7502fbb31ad70fb1a-1,,
911,different,,911,psi-f2166718b912b59029436c8bb379e3a3-1,"In other sets the sequence |rh| always has a (historical at least)
morpheme boundary between the two phonemes.  Such is very likely the case
here.",
915,"demonstrative, locative (1)",,915,psi-b8bbfb572c2226bc9d42581dea7c75f5-1,,
916,"demonstrative > that, this",,916,psc-90b11d2de6061b360f0040c34441dbc4-1,,
919,demonstrative (1),,919,psi-29df1c7a578c92de94eec83ea12cf895-1,"Many instances of suffixial {ha/hą} in Siouan languages appear to be
an adverbializer, a different morpheme. Also cf. indefinite/interrogative
{ha}.",
922,"deer, ruminant",,922,psc-4b184fd2ac439b23234f8058ed6a83cb-1,,
923,deceive,,923,pmv-a4db0feb5aca41f401353052fee6105f-1,,
914,"demonstrative, locative (2)",,914,ca-2d35178fb5b52e35ed195138ce4d43b7-2,Cf. ‘**664**’.,
931,"danger, difficulty, hardship",,931,pmv-667308c2251b34d22d5e9527adf1b2fa-1,,
937,cut > open,,937,pmv-9a85cdfd2a660b0c1c9c73411ef9d276-1,,
945,crush (1),,945,psi-1330a26cc412f3825e66adb4896c395a-1,,
949,cross,,949,psi-9bc1d65ce02492ff90caf2f7adb4c90e-1,,
960,correct,,960,pmv-1d417289f2c9e3b2d0aa006e209296a3-1,,
971,copulate (1),,971,pch-89fb109802fceeea1e3bf6e80383b2e2-1,"From the limited data it is not possible to determine what causes the
initial vowels to differ here.",
972,cook,,972,psi-81336473406eb684b6d1d18edabacf56-1,"A few |t| forms seem to group with spirant ablaut
sets, i.e., |s ~ t ~ š ~ x| occasionally, not just |s ~  š ~  x|.  While this
is most evident in MRS, it is not limited to that subgroup.",
982,coals (2),,982,pmv-915f94e8fa6e18b788499f3546507eee-1,,
1027,brush (vegetation),,1027,pmv-624781213baed4e433da1d89cd98e427-1,,
1009,calf of leg,,1009,psi-318bda67d051fc19c61bcd2b8a88c9b3-1,,
1019,burst,,1019,pmv-b4d1737c723a726e0225a16509b5995f-1,,
1020,burn (5),,1020,pmv-a3d8deff72c7b8f37bbaa1d247a9410c-1,,
1038,break to pieces,,1038,pmv-e8022202a2bc388685dcd53befe7eff4-1,,
1039,break off pieces (4),,1039,pmv-16a9f220f00ab136ff80c711bacf74d0-1,,
1049,break cord > break apart,,1049,psi-eb9a3ff751d63e6d4d9ee341790150c2-1,,
1052,break (2),,1052,psi-05062cf22e51ca737faadd00a956e595-1,,
1053,break (1),,1053,psi-8bde98a9994510939b0271e88a4467d9-1,,
1054,"bread, cornball",,1054,pmv-cb1998df552557344a71a0c8b98f4bb1-1,"Forms with the instrumental {*-Wo-} refer to the swelling or rising
of dough and so may postdate contact.  Cf. Choctaw and Chickasaw |paska|
‘bread’, |palaska| ‘bake’.  Initial syllable accent and restricted
distribution make diffusion a possibility here.",
1055,brave (3),,1055,pmv-d17a10a9cc9f7044ab513ead0bd80a35-1,,
1057,brave (1),,1057,pmv-c793181c7d6ba27b8f4d6667636f4780-1,Cf. **BI** |saⁿháⁿ| ‘strong’ (DS-251).,
1063,"botch, fail, miss",,1063,psi-5affa8bed0b7f9e8ace900824e683709-1,,
180,suck (1),,180,psi-cc8354b586e189327d4140c623236a46-1,"Cf. ‘**179**’.  Cf. ‘**302**’ for another instance in
which **CR** or **HI** seems to have altered a root vowel {u} following
the {ru-} prefix.  **LA** and **QU** show a different spirant grade,
and the **QU** form has a |-ka| root extension.",
1075,blink,,1075,pmv-bb06b69b442f38162a3746b00cb9f032-1,,
1082,black (2),,1082,pmv-13fc25aa81fe09e6f303640eb0ca060f-1,,
1097,"beyond > other, across (2)",,1097,,,
1098,"beyond > other, across (1)",,1098,psi-2b7fb4c0dbc67d9571b1f201a4a2f32a-1,,
1109,bend (5),,1109,pmv-76b24a3154bd8cc9d4eae9df9504f3ba-1,,
176,sudden action (2),,176,pmv-700e87e29c108bea2e2e4053e4d0e9df-1,"**OS** “ṭs” clearly should be |ts| = {ch}. La Flesche often makes
mistakes with the tense vs. aspirated affricate. See ‘**177**’,
which complements this set. These {*rh} clusters are all generally
secondary products of syncope from an earlier **PSI** {*rVh-}.",
177,sudden action (1),,177,pmv-604facb17a122535defc635e59c10321-1,**DA** sporadic nasalization is unexplained.,
1135,bare,,1135,psc-7c96055540e542168c24d2fcdf460d18-1,,
182,stuff,,182,psi-3354e6cbf6a80ce2c31961ca30e78a31-1,"Cf. **LA** {pazí} ‘push into, as a stick into the sand in hunting
for turtle eggs’ (B-438).",
1142,"back, returned",,1142,pmv-5d6e5dca84cd6e8a942822a2042f45e7-1,,
1165,"apportative, + or - vertitive",,1165,psi-5443a73263d4e3a5994af7b88a1d92d1-1,,
183,struggle,,183,pmv-99da770cd64451a06a32b0ff05532cf5-1,"This modest set may be from **PMV** {*kša}, cf. **LA** {kšą́kšą}
‘wiggle, as a fish’ B-318b.",
1174,again (1),,1174,bi-639849f6b368019778991b32434354fc-1,Cf. ‘**1173**’.,
1186,I (agt.) on You (pat.) contraction,,1186,psi-655db4aa8b890d88332677650ee026bd-1,"The contracted form often co-occurs with an (analogical) more regular
1st sg. actor prefix. So far, contraction appears to be an MVS phenomenon.

OVS either never contracted these pronoun prefixes or has restored them
analogically throughout.",
1188,2nd singular possessor,,1188,psc-b80c7754676d96c4e2c12b7185b3b1c5-1,"Variable nasality in this and analogous other prefixes deserves further
investigation.  Siebert (1945) believed it related to noun classes.",
16,worm,,16,psi-f0164137618a30a4277c93201b52b8e2-1,"These forms appear consistently to contain ‘deer, ruminant, bison’,
etc., and may refer to parasites that lay their eggs beneath the skin at the
nape of the neck, e.g. the bot fly. {*ihtáwą} if based on **PSI** ‘neck’;
{*wa-htáwą} if based on ‘deer’.  **CR** |bisheechí| ‘**16**’ (GG-33, DEC-2) and
**HI** |wité•ki| , |mité•ki| ‘worm, maggot’ are based on ‘**1086**’, q.v., and are
structurally parallel but not cognate.",
