pk,jsondata,id,name,description,markup_description,version
257,{},257,split (3),"RR Cf. the other two fricative symbolism grades. Morphemic segmentation
is done on the basis of the {s} forms, q.v.",,1
258,{},258,split (2),"Cf. the other two fricative symbolism grades. Morphemic segmentation
is done on the basis of the {s} forms, q.v.",,1
274,{},274,son-in-law (2),,,1
278,{},278,"son, first or eldest","Nasalization of the possessive prefix is irregular but apparently
widespread, occurring as it does in both subgroups in which the term is
attested. Some sort of assimilation at a distance, while possible, is not an
explanation. The restricted nature of this term suggests an areal origin.",,1
281,{},281,something (1),,,1
283,{},283,soldier,,,1
284,{},284,soft (3),,,1
287,{},287,"soak, spill (1)",,,1
269,{},269,sour (3),"Cf. ‘**1084**’, ‘dry (?)’",,1
297,{},297,smooth (1),,,1
303,{},303,slip (5),,,1
306,{},306,slip (2),,,1
307,{},307,slip (1),,,1
301,{},301,slow,Cf. the homophone ‘**84**’.,,1
310,{},310,slide (2),,,1
311,{},311,slide (1),,,1
318,{},318,skim (2),,,1
333,{},333,sinew,"This term may have been inherently possessed and borne the prefix
{i-}. This would account for position of the accent but should have
produced vowel length.",,1
334,{},334,similitive,,,1
335,{},335,similar,,,1
336,{},336,side (2),,,1
338,{},338,show,,,1
339,{},339,shout,"This term may be considered to involve sound symbolism, cf. English
‘shriek’. This is true of dozens of Siouan terms with the shape {*SrV-}.",,1
342,{},342,short,"The DH forms derive from {*tap} + {*-ka} ‘qualifier’, with the
usual DH {*pk > *kp > hp = pp}. Note the use of palatalization to create
diminutive variants. The root is restricted to MVS.",,1
351,{},351,shell > spoon,"The initial aspiration in MVS implies an earlier but now missing
initial syllable. There is evidence that this term is widely borrowed, cf.

Choctaw {shaⁿha toba} ‘oyster shell’ (|toba|) < Proto-Musk. {*tokwa}.

Iroquoian Moh. {atókwa}; Onei. {atókwat}; Onon.

{ató:kwat}; Sen. {atókwa-}; Huron |estoqua|, Mithun, p.277. All are
‘spoon, ladle’. So the missing initial may simply have been
{a-}. The word may represent a relatively early borrowing throughout
Siouan.  The vowels do not match properly, nonetheless, it does seem to be
reconstructible at the subgroup level.",,1
361,{},361,shake (2),,,1
362,{},362,shake (1),,,1
369,{},369,separate (5),,,1
385,{},385,"scrape > scrape around, heap up",,,1
386,{},386,scrape > peel,,,1
387,{},387,"scrape > dig, scratch","This form is most likely related derivationally to the similar
term with {e} in place of {a}.",,1
391,{},391,scrape (1),,,1
393,{},393,scatter (1),,,1
409,{},409,rub (1),Cf. ‘**776**’,,1
415,{},415,rough (2),,,1
416,{},416,rough (1),,,1
417,{},417,roll,"This set and reconstruction are extremely tentative, but interesting
since it would be another {*-he}.",,1
423,{},423,roast (2),,,1
425,{},425,road (2),,,1
443,{},443,"rattle, rumble",,,1
444,{},444,rattle (2c),,,1
445,{},445,rattle (2b),,,1
446,{},446,rattle (2a),,,1
447,{},447,rattle (1c),,,1
448,{},448,rattle (1b),,,1
512,{},512,open up,,,1
513,{},513,open > break open,,,1
1043,{},1043,break off (3),,,1
456,{},456,quantifier (2),All DH examples occur in nasalizing contexts but appear to be cognate.,,1
457,{},457,quantifier (1),,,1
472,{},472,precipitate,,,1
481,{},481,"pole(s), lodge",,,1
482,{},482,point at,,,1
488,{},488,pinch (2),,,1
490,{},490,pierce,,,1
491,{},491,pick fruit,,,1
517,{},517,"one of a pair, another",,,1
494,{},494,penis,,,1
500,{},500,peel (2),"The {š} forms appear to refer to the removal of particulate matter,
scales, kernels, pieces, etc. rather than peel per se.",,1
501,{},501,peel (1),,,1
502,{},502,peek,,,1
508,{},508,outside,,,1
493,{},493,permit,**PDA** {*y} and **CH** {w} are epenthetic following loss of **PMV** {*h}.,,1
522,{},522,"old, mature",,,1
523,{},523,"old, Ancient of - (Suffix)","This is probably a contraction of (or root from) {*rą-}
{old, mature}.  Apparently always unstressed, {-ną} would represent a
grammaticalization whatever its source.",,1
524,{},524,old man,,,1
530,{},530,nudge,,,1
531,{},531,now,"The MVS cluster {*rh} is virtually always secondary as far as we
can tell, and the normal syncope of the initial, short unaccented syllable
in that subgroup would yield the correct sequence, {*rVhą́• > *rhą́•}.",,1
43,{},43,"whistle (1), chirp","**OP** and **KS** disagree on fricative voicing.  **OS** voicing is unmarked
in LaFlesche.  Different subgroups show different extensions.",,1
538,{},538,new (2),,,1
539,{},539,new (1),,,1
535,{},535,nine,The recorded **CH** forms imply different underlying sibilants. **PSI** |*š|,,1
559,{},559,mourn,,,1
571,{},571,mix (2),"The root is {*-hihe} typically used with the prefix {*í•-} with
frequent addition of {*raka} ‘by striking’ in MVS.",,1
572,{},572,mix (1),,,1
573,{},573,miss,,,1
724,{},724,hat,It is not clear that these forms are cognate.,,1
584,{},584,marrow,,,1
585,{},585,"marked > spotted, striped (3)",,,1
589,{},589,maple,"Frequent rendering by descriptive terms such as ‘black dye tree’, or
‘blue dye tree’, etc. is common.  Parallel derivation here is high but
cognacy is low to nonexistent.",,1
595,{},595,make hole,,,1
599,{},599,lost,,,1
600,{},600,"loose, knock loose",,,1
601,{},601,loon,,,1
602,{},602,"look into, peek",,,1
603,{},603,look at (2),,,1
604,{},604,look at (1),,,1
614,{},614,locative (5),,,1
615,{},615,locative (4),Vowel length in some of the MRS forms is not accounted for.,,1
616,{},616,locative (3),,,1
617,{},617,locative (2),,,1
618,{},618,locative (1),,,1
622,{},622,lip,,,1
45,{},45,when,"**HI** {tua} is from earlier {*tuha}, presumably reflecting inherited
{**tohą} with regular raising of {o} and reduction of {uha} to
{ua}.",,1
630,{},630,leggings,,,1
632,{},632,left (side or hand),"Dakotan forms suggest the influence of |*i-| possessive in ‘left hand’;
thus |*r > *y|.",,1
640,{},640,know (3),,,1
641,{},641,"know (2), recognize",,,1
643,{},643,"knock over, lean",,,1
46,{},46,what size,"Cf. ‘**457**’. Resonant behavior
in **KS** and **OS** is different from that reflected in ‘**457**’, suggesting
that the resonant is/was an intrusive glide.  If organic, the resonant
should be |n|.",,1
665,{},665,interrogative (2),,,1
666,{},666,interrogative (1),,,1
667,{},667,indefinite/interrogative (3),,,1
675,{},675,humpbacked,"While there is nothing directly reconstructible here, there is clearly
a sound-symbolic relationship between the forms found in the represented
subgroups. One is reminded of Sapir’s famous paper on abnormal speech types
in Nootka.",,1
659,{},659,itch (2),The **HI** form may represent an assimilation from {*xari-}; cf. ‘**660**’.,,1
683,{},683,hook,A very weak cognate set.,,1
685,{},685,"hollow, empty (1)",This stem is too poorly attested for a really secure reconstruction.,,1
686,{},686,"hollow, concave",,,1
687,{},687,"hollow, a hole",,,1
689,{},689,"hole, hollow",,,1
691,{},691,hole,,,1
693,{},693,hold back,,,1
697,{},697,hiss (3),,,1
698,{},698,hiss (2),,,1
701,{},701,"hide, skin, cloth",,,1
706,{},706,"here, now",,,1
707,{},707,help,The forms may not be cognate.,,1
47,{},47,weigh,"The **LA** form may be related, at least in part, to the **CH**/**WI** forms, but
much of the term is non-cognate.",,1
684,{},684,"hollow, empty (2)",Cf. ‘**1061**’.,,1
711,{},711,heat,,,1
723,{},723,haul,"This is not a particularly satisfying set since so many different
elements are compounded.",,1
731,{},731,hang down (1),,,1
279,{},279,son,"**CH** again shows incomplete merger of **PSI** |*r| and |*y| here, while
**WI** merges the two completely. This term is a possessed extension of ‘**620**’,
q.v.",,1
744,{},744,"growl > snore, snort",,,1
748,{},748,groove,,,1
760,{},760,grass (1),,,1
770,{},770,good (3),,,1
773,{},773,go vertitive,,,1
769,{},769,"good (4), heal",Spirant grade suggests that **HI** is a borrowing from **MA**.,,1
781,{},781,gesture,,,1
782,{},782,general deictic (2),,,1
784,{},784,gather (3),,,1
788,{},788,future (2),,,1
789,{},789,future (1),,,1
795,{},795,frog (3),"There is no evidence for a specific prefix vowel here.  The prefix may
have been |*wi-| as with most other animals or |*wa-| the general
absolutive.",,1
799,{},799,friend (3),"These strikingly similar SE forms are not obviously cognate.  The set
suggests diffusion.",,1
800,{},800,friend (2),These forms may be derivationally related but are not clearly cognate.,,1
801,{},801,friend (1),"Cf. Mobilian trade jargon: |mogula, mukula| ‘friend’, Crawford p. 85. It
appears that look-alike forms have diffused widely, cf. also Choctaw “kana”
‘friend’ (Swanton and Byington 222b), |ikhana| ‘know’ (RR) and Algonquian
|niihkaana| ‘my friend’, |*n-iiθ-kan-a| ‘brother, fellow’ (Callander
1962:121). The Mobilian form shows that Siouan languages contributed to the
diffusion stock.  There are three different intervocalic consonants
represented here, and we have no idea how this situation arose.",,1
304,{},304,slip (4),"The languages with cognates do not show reflexes of vowel length, so
that feature cannot be reconstructed. But cf. {-xru} ‘push
through’, which lacks vowel length in **WI**.",,1
805,{},805,forest,,,1
806,{},806,forehead (2),,,1
322,{},322,"sister-in-law (2) wHuSi, wBrWi","RR **BI** has undergone syncope. The Dakotan forms are not directly
relatable at present < |šíke + hą|.",,1
839,{},839,find by chance,,,1
871,{},871,"emphatic, contrastive, but",,,1
848,{},848,"fat, tallow",,,1
850,{},850,fart,,,1
851,{},851,"far, towards, into",Cf. |tka|.,,1
855,{},855,fall (2),,,1
857,{},857,"fail, be unsteady",,,1
862,{},862,even (2),,,1
863,{},863,even (1),Dakotan nasalization is unexplained.,,1
867,{},867,enter (1),,,1
751,{},751,grind,"The **KS** term {ya{ttó}xe} ‘crack sth. between the teeth’ is
related but carries a different root extension.",,1
879,{},879,edge,,,1
880,{},880,eat,,,1
892,{},892,drip (3),,,1
897,{},897,"dress, skirt, etc.","Wichita |rhincʔa| ‘clothing from the waist down’ (DSR) suggests possible
borrowing into that language.",,1
908,{},908,directional locative,,,1
909,{},909,dig out,,,1
928,{},928,darkness (3),,,1
911,{},911,different,"In other sets the sequence |rh| always has a (historical at least)
morpheme boundary between the two phonemes.  Such is very likely the case
here.",,1
915,{},915,"demonstrative, locative (1)",,,1
916,{},916,"demonstrative > that, this",,,1
919,{},919,demonstrative (1),"Many instances of suffixial {ha/hą} in Siouan languages appear to be
an adverbializer, a different morpheme. Also cf. indefinite/interrogative
{ha}.",,1
922,{},922,"deer, ruminant",,,1
923,{},923,deceive,,,1
914,{},914,"demonstrative, locative (2)",Cf. ‘**664**’.,,1
931,{},931,"danger, difficulty, hardship",,,1
937,{},937,cut > open,,,1
945,{},945,crush (1),,,1
949,{},949,cross,,,1
960,{},960,correct,,,1
971,{},971,copulate (1),"From the limited data it is not possible to determine what causes the
initial vowels to differ here.",,1
972,{},972,cook,"A few |t| forms seem to group with spirant ablaut
sets, i.e., |s ~ t ~ š ~ x| occasionally, not just |s ~  š ~  x|.  While this
is most evident in MRS, it is not limited to that subgroup.",,1
982,{},982,coals (2),,,1
1027,{},1027,brush (vegetation),,,1
1009,{},1009,calf of leg,,,1
1019,{},1019,burst,,,1
1020,{},1020,burn (5),,,1
1038,{},1038,break to pieces,,,1
1039,{},1039,break off pieces (4),,,1
1049,{},1049,break cord > break apart,,,1
1052,{},1052,break (2),,,1
1053,{},1053,break (1),,,1
1054,{},1054,"bread, cornball","Forms with the instrumental {*-Wo-} refer to the swelling or rising
of dough and so may postdate contact.  Cf. Choctaw and Chickasaw |paska|
‘bread’, |palaska| ‘bake’.  Initial syllable accent and restricted
distribution make diffusion a possibility here.",,1
1055,{},1055,brave (3),,,1
1057,{},1057,brave (1),Cf. **BI** |saⁿháⁿ| ‘strong’ (DS-251).,,1
1063,{},1063,"botch, fail, miss",,,1
180,{},180,suck (1),"Cf. ‘**179**’.  Cf. ‘**302**’ for another instance in
which **CR** or **HI** seems to have altered a root vowel {u} following
the {ru-} prefix.  **LA** and **QU** show a different spirant grade,
and the **QU** form has a |-ka| root extension.",,1
1075,{},1075,blink,,,1
1082,{},1082,black (2),,,1
1097,{},1097,"beyond > other, across (2)",,,1
1098,{},1098,"beyond > other, across (1)",,,1
1109,{},1109,bend (5),,,1
176,{},176,sudden action (2),"**OS** “ṭs” clearly should be |ts| = {ch}. La Flesche often makes
mistakes with the tense vs. aspirated affricate. See ‘**177**’,
which complements this set. These {*rh} clusters are all generally
secondary products of syncope from an earlier **PSI** {*rVh-}.",,1
177,{},177,sudden action (1),**DA** sporadic nasalization is unexplained.,,1
1135,{},1135,bare,,,1
182,{},182,stuff,"Cf. **LA** {pazí} ‘push into, as a stick into the sand in hunting
for turtle eggs’ (B-438).",,1
1142,{},1142,"back, returned",,,1
1165,{},1165,"apportative, + or - vertitive",,,1
183,{},183,struggle,"This modest set may be from **PMV** {*kša}, cf. **LA** {kšą́kšą}
‘wiggle, as a fish’ B-318b.",,1
1174,{},1174,again (1),Cf. ‘**1173**’.,,1
1186,{},1186,I (agt.) on You (pat.) contraction,"The contracted form often co-occurs with an (analogical) more regular
1st sg. actor prefix. So far, contraction appears to be an MVS phenomenon.

OVS either never contracted these pronoun prefixes or has restored them
analogically throughout.",,1
1188,{},1188,2nd singular possessor,"Variable nasality in this and analogous other prefixes deserves further
investigation.  Siebert (1945) believed it related to noun classes.",,1
16,{},16,worm,"These forms appear consistently to contain ‘deer, ruminant, bison’,
etc., and may refer to parasites that lay their eggs beneath the skin at the
nape of the neck, e.g. the bot fly. {*ihtáwą} if based on **PSI** ‘neck’;
{*wa-htáwą} if based on ‘deer’.  **CR** |bisheechí| ‘**16**’ (GG-33, DEC-2) and
**HI** |wité•ki| , |mité•ki| ‘worm, maggot’ are based on ‘**1086**’, q.v., and are
structurally parallel but not cognate.",,1
460,{},460,"put in, fill, plant","The problematic **CR**/**HI** forms may derive from P**PCH** |*o-šu-hre|, i.e. a
formation with the causative directly comparable to that found in **MA**.",,1
2,{},2,yesterday (1),"This is quite evidently a morphemically complex form; a string of
deictic particles that includes a temporal plus one or more locatives. If
there was a **PSI** {*sitó} it should have received aspiration by rule, but it
did not. The **CH** form might help explain the strange {ʔ} in **KS**, but
glottalization is irregular here in any event.  All in all this is not a
very satisfying analysis or reconstruction. Cf. ‘**125**’.",,1
4,{},4,"yes (1), to be so","These terms are interestingly similar, but it is hard to be sure what
part of them is cognate and what part involves phonosymbolism. There seems
to have been a **PSI** male/female speech distinction that needs to be clarified
and considered both here and among the postverbal modal particles.",,1
5,{},5,yellow > tawny,"**PSI** had fricative ablaut: cf. ‘**7**’ and ‘**6**’. The **MA**
form given here corresponds regularly, but the semantics assigns the meaning
‘**7**’ and {šír} is assigned ‘tawny’. Fricative symbolism for this set
of roots evidently does not occur in OVS.  This fact plus the **CA** form may
imply that {*si•} was original and the others derived.",,1
7,{},7,yellow,"Cf. ‘**6**’. The aspiration in **OF** may be due to vowel syncope {*sihi
> *fihi > fhi}. Several languages seem to have reflexes of {*síhi}. An
analogous augment is found with some other color terms, {są ~ sąhą}
‘**40**’, {to ~ tóho} ‘**1068**’. Normally the extension is formed
with {-hV} where the V copies the preceding one. This sort of partial
reduplication appears to be unique to color terms.  It may be derived from
an intensifier, |-hi|, found in some languages, e.g. **QU**.  The same augment
may explain the **HI** doublet with and without glottalization.",,1
9,{},9,wrist (2),"Seemingly another example of rightward vowel exchange in **HI**, if **MA** has
the inherited form. Alternatively, **MA** may have subjected the form to folk
etymology, as the current structure is a compound of ‘**735**’ plus some unknown
element.  Body parts are frequently inherently possessed and marked with
inalienable {*i-}, so there may be more than meets the eye to the vowel
exchange here.",,1
10,{},10,wrist (1),"**CH** |ʔS < *kS|.  Cf. |*ši-šE| and **PBO** |*ke(•)či| ‘bend’, which suggest
that all of the Siouan terms for ‘bend, crooked’, etc. with root-initial
|kš| probably possessed the **PSI** initial CVC sequence |*keš-|.  This would
account for the accentual pattern in the daughter languages also.",,1
11,{},11,wrinkle (3),"Cf. ‘**13**’, ‘**12**’ for unextended forms.",,1
12,{},12,wrinkle (2),"**OS** {cʔ} can be a reflex of {*sʔ} or {*šʔ}, so two fricative
ablaut grades help fill out the set. Cf. ‘**13**’.  Glottalization of
fricatives is lost in **BI**, and OVS generally, so the above form may be cognate
with either the glottalized or non-glottalized set, q.v.",,1
13,{},13,"wrinkle (1), ruffle","Cf. ‘**12**’, ‘**1103**’, also **BI** |sĭsí| ‘wrinkled’ DS-256a",,1
14,{},14,wrap,Probably the final element of |bešį| ‘bend’; cf. ‘**90**’.,,1
15,{},15,wound,"Glottalization of the inclusive prefix in Dakotan argues for the initial
laryngeal.  The accentual pattern in **OS** suggests the former presence of a
segment before the laryngeal, possibly the locative prefix |*o-|.  Thus,
perhaps, from ‘shoot into’ > ‘**15**’.",,1
752,{},752,grease (2),"Generally, this is an edible grease, as opposed to ‘**753**’.",,1
17,{},17,woodpecker,"The **KS** form, |ttoį́ska(hįga)| ‘type of sparrow’, has been reanalysed
or is simply not cognate. The Dorsey entry reads “of the woodpecker family”.

The **HI** form has {š} where a reflex of {*s} would have been expected. We
propose that **HI** has borrowed from **MA**, hence the reconstruction with {*s}.",,1
20,{},20,"wise, smart, mature","Vowel length is obscured by the transcriptions available for
consultation here, but **OF** indicates its presence.  **KS** |-aži| is ‘negative’.",,1
22,{},22,"wipe > rub, sweep","The roots have a surface similarity, but note that **MA** and **LA** disagree
for the fricative grade and nasalization.",,1
23,{},23,winter,"Cf. ‘**292**’.  Dakotan |waníyetu| has perhaps been influenced by ‘**292**’
and thus is not the expected |mą-|.  The **CH** form also incorporates ‘**292**’,
as may **TU**.  The several attested **CA** forms only sometimes show the requisite
nasalization.  All may be related derivationally or they may be doublets from
different dialects.  Cognacy of the **CA** term(s) is uncertain.",,1
24,{},24,wing (2),"Cf. ‘**1161**’, ‘**1064**’, ‘**25**’.  This appears to be a lower MVS replacement
term for ‘**25**’, which is reconstructible to **PSI**. {hį} refers to
feathers.",,1
25,{},25,wing (1),"Cf. ‘**833**’, ‘**484**’, ‘**1137**’  **OF** is internally reconstructible to |*-xąp-| or
|*-xǫp-|, so major subgroups disagree on which vowel(s) was/were nasal in
**PSI**. The |-a-| in **CR** is from “breaking” of |i| before |x|; **HI** shows the **PCH**
state.",,1
26,{},26,wind (3),"For other instances of **LA** |xw < xVw|, cf. ‘**447**’ and
‘**200**’.  **HI** may have dissimilated |w > r| after |u|, if it is
cognate.",,1
27,{},27,wind (2),"**CR**, **HI**, **MA** match for {*se}; OVS shows {*-xe}. The constructions
are probably sound-symbolically related. On MRS {hu-}, compare **HI**
{hú•he} ‘**1073**’ and {-hu•re} ‘move air’ in {náhu•re} ‘inhale’,
{nakahu•re} ‘to fan’, **CR** {awatá•hua} ‘**1073**’. Cf. ‘**26**’",,1
28,{},28,wind (1),"Cf. ‘**27**’. The accent shift in **DA** is regular; the DH accent shift is
problematic but may be tied to the loss of vowel length in some DH dialects.",,1
29,{},29,win,‘**29**’ is not conjugated as an H-stem.,,1
30,{},30,wilt,Cf. ‘**912**’.  Note compounded instrumental prefixes in **KS**.,,1
31,{},31,"willow, Salix sp.","There may be two sets here, ‘pith’, with {*o} (**LA** |čhoɣį́| ‘pith’ C **LA**
|čhoxwą́žiča| ‘willow’ **OT** |lo•xwé•|), and ‘willow’, with {*u}. **DA** suggests
this. **BI**, with a different meaning, has a reflex of **PSI** {*y} while most
MVS languages have reflexes of {*r}.  **BI** compounds with |-hu| ‘tree’.

This term may have diffused like many tree terms. There are Iroquoian and
Tunica look-alikes. Cf. ‘**162**’",,1
32,{},32,"will, purpose","Cf. ‘**141**’.  The **LA** form as a verb 1sg. is |wačhąmį|. This term
probably arises in **PMV**. **PSI** {*wa-} would have lost its vowel and
collapsed with the following syllable.",,1
33,{},33,wild cat (2),"**QU** may represent a borrowing from **BI** or **OF**.  Phonologically **DA** |ptą|
‘**509**’ matches this set, v. ‘**509**’.  Michael Nichols (personal
communication) finds resemblant forms elsewhere in North America, so this is
most likely a widely diffused form and a borrowing in most or all of the
languages included here.",,1
34,{},34,wild cat (1),"Technically it might be possible to reconstruct a **PSI** term for ‘bobcat’
from this set.  In fact, this is almost certainly a diffused form and a
widely diffused one at that.  Given the ‘squash, pumpkin’ set, q.v., which
certainly appears to contain a borrowing from an Algonquian sequence
something like |-kwa•n-|, this set might potentially be reconstructed
approximately |*kwų́•| with the usual dissimilation of the unacceptable |*wų|
cluster.  In this instance however, the apparent |tyų| of Yuchi |šatyone|
‘**802**’ or |šatʔanę ~ šatyʌ̨ne| ‘wildcat’ (LB) and the Iroquoian forms cited
below cause us to favor a prototype (i.e., not a reconstruction) with a
dental rather than a velar stop.  Thus the form that has diffused in Siouan
would have likely been something like |†twų́•|.  Cf.  also Iroquoian: Moh.

|atì:ru|; Oneida |atì:lu|; H.  |tiron|; Wy.  |atí:roⁿ|; Tusc.  |néʔrvʔ|.

(Mithun, Extending the Rafters, p.265).  V.  also ‘**452**’ (p.  266, same
entries).  Also cf.  **WI** |-kųnų́k| ‘bobbed, cut off clean’ KM-1922.  If **HI**
belongs in this set at all, it suggests rightward vowel exchange from an
earlier |†itapu•|, where length is a syllable feature, not a vowel feature.

This in turn may correspond to our proposed diffused form. The **CR** form, if
it is cognate with the **HI**, might reflect loss of |a| and assimilation of
|u•| to the following |i| of the compound.  **TU** has reflexes of |t|, |r| and
|u|, but little else can be said about it.  The prefix |i-| suggests that
this may be a term that was once marked with a reflex of the the **PSI** animate
classifier, |*wi-| in some of the languages, but this is uncertain.",,1
35,{},35,wife,**MA** < |ko-ųhe|.,,1
36,{},36,whoop,"**WI** |hookárahohóp| ‘make warwhoop’ (KM-1440) is parallel in
construction but not precisely in form.  Cf. ‘**699**’.",,1
37,{},37,who,"The **CA** forms may be spurious; they are muddled by “something” forms,
see {†Ropa}. **CR** and **HI** have reinforced {*pe} by suffixing it to the
indefinite/interrogative stem {†ta•}, q.v.. **OP** and **OS** have done likewise,
using the demonstrative stem {e}.  Cf. ‘**663**’.",,1
39,{},39,white (2),"This seems to be the newer of the terms for ‘white’, partially
replacing {*asą́•} in MVS, where, for example, in **KS** {ská} is
translated ‘white’, while {są(hą)} is translated ‘distant white, whitish,
hazy white’.",,1
40,{},40,white (1),"Cf. ‘**347**’, ‘**345**’ {*šą•, *xą•}. **MA** |šą́ši| ‘smooth’ may ultimately be
related to this set.  If **CR** fits here (**PSI** |*s| > **CR** |t| /__|a|), then **HI**
must be a borrowing from **CR**.  **PSI** |*s| appears as **HI** |c|.  The borrowing, if
it occurred, happened prior to the change |k > č| in **CR**.",,1
48,{},48,weave (2),"Note the rare occurrence of doublets distinguished only by fricative
voicing in MVS. {*sų} and {*zų} have nearly identical meanings and
must have developed in different phonological contexts. This constitutes
important evidence that there really was a voicing rule and that **PSI** only
had voiceless fricatives.  The **BI** form shows a reflex of the |*š| grade.",,1
49,{},49,weave (1),"The root |*sų| occurs in MVS with both voiceless and voiced fricatives,
cf. **CH** |wa•θų́ǰe| ‘**364**’ RR, †mą́θųǰe , |máthunje| ‘weave a web’ JGT92-277.

**CH** |waną́θuǰe| ‘weave’ JDH/RR.",,1
50,{},50,"wear pants, wear on legs","Certainly looks derived from ‘stand inside’ except for the aspirates in
**CH**/**WI** and **DA**. Cf. **KS** {oną́žį}. Cf. also **KS** {obáhą} ‘wear (generally)’,
which may contain the root that is seen here in compound and ‘**51**’
(which has {*rh} as opposed to {*th} here).",,1
51,{},51,wear on the feet,"Cf. ‘**50**’. These two terms, {*o-thą} ‘**50**’;
{*o-rhą} ‘**51**’ are one of the few scraps of evidence for a **PMV**
{*th/*rh} opposition. Both are suspect of being late compounds. Cf. **KS**
{obáhą} ‘wear (generally)’. The root, |hą|, may be ‘**217**’, q.v.",,1
52,{},52,wear around the neck,"**QU** {*pʔ > ʔ} regularly. Presumably the {r} is an inserted glide
in initial position in these terms, perhaps a backformation from ‘**545**’,
q.v. Similarly it must be an inserted glide in **BI** between {p} and {į},
implying a stem-final vowel that has been lost.  Cf. ‘**545**’, ‘**53**’.",,1
53,{},53,wear about the shoulders,"The **CH** term may mean ‘wear one’s own about the shoulders’ or it may
represent the ‘carry on the back’ set. Cf. ‘**52**’, ‘**545**’
for compounds with {ʔį}. The **MA** form is < {wa-} + {įh} ‘Abs. +
wear’ **LA** 1pl. |ʔųkʔį́pi| confirms the presence of root-initial |ʔ|.",,1
55,{},55,"water, liquid","Possibly some sort of vowel harmony operated on the initial syllable
vowel. Cf. ‘**922**’. Alternatively there may have been prefixes {*wa-}
‘**1180**’ and {*wi-} ‘animate absolutive’, which also marked certain nominals. Vowel length is not well represented here and may not be reconstructible.",,1
56,{},56,water,"**TU** |†tą́-i| ‘big’.  Cf. ‘**808**’, ‘**867**’.",,1
57,{},57,wash,"The **OF** aspirate shows two things: (a) stress was formerly on the second
syllable, and (b) **OF** had its own, broader and more recent aspiration rule,
since OVS {*č} from {*š} would not receive aspiration from the common
Siouan rule. There is evidence from Sapir’s transcriptions that **TU** too had
the extended aspiration rule which affected affricates secondarily derived
from fricatives (v. his transcription of ‘**903**’).  The source of **MA** |ʔ| is
unexplained at present.",,1
58,{},58,warm (2),"**OS** should have |-ds-|; {-d-} is presumably La Flesche’s native Ponca
interfering. Cf. **DA** |ṡtunya|, |stuta| ‘thaw out the frost’ (Wm 243-a) which
shows variant derivations and are related indirectly.  **BI** |itcĭ´tcokí| ‘a
comforter’ (DS-200b) is not clearly relatable at present.",,1
