pk,phonetic,comment,original_entry,other_reconstructions
227,,,,
228,†ttóska,,†ttóska FLF-105,
229,,,,
230,†mą́the,,"†mą́the ‘inside, under’ JOD",
231,†mątháha,,†mątháha ‘down into’ JOD,
232,,,"mahé ‘within, in, into’ B-327b",
233,,,"mahétu ‘within, inward; deep’ B-328",
234,,,"“ma-hén” ‘within, into, in’ R-304b",
235,,,mą́čhe ‘under’ RR,
236,,,"mąčhétta ‘under, within’ JOD",
237,,,,
238,†mą́che,,"†mą́che “moⁿ´tse” LF-103a, also “moⁿtsé”",
239,,,,
240,†mąthe,,"†mąthe “moⁿte” ‘in, inside’ Sw-101",
241,,,,
242,,,i- ‘instrumental’,
243,,,ií- RG,
244,,,i- ‘instrumental’,
245,,,í- ‘instrumental’,
246,,,,
247,,,,
248,,,į ~ i ‘instrumental’ Einaudi-111-112,
249,,,hi- ‘instrumental’,
250,,,,
251,,,i- ‘instrumental’,
252,,,i-,
253,,,,
254,,,í- ‘instrumentive’ C,
255,,,,
256,,,í- ‘instrumental’,
257,,,į ~ i ‘instrumental’,
258,,,í- ‘instrumental’,
259,,,,
260,,,,
261,,,í- ‘instrumental’,
262,,,,
263,,,í- ‘instrumental’,
264,,,,
265,,,,
266,,,"kšą́toʔš ‘he’s alert, smart’ H-121 (?)",
267,,,wakšą́toʔš ‘Watch out!’ H-121 (?),
268,,,"ksápa ‘wise, prudent’ B-318a",
269,†kfá•hi,,"†kfá•hi “kfā´hi” ‘old’ DS-325, Ssf",
773,†ánižóhe,,†ánižóhe JOD,
270,†aksapi,,†aksapi “aksûpi; aksûpta” ‘look sharp!” DS-172a,
271,†aksapi,,"“ksapí” ‘grow, (mature)’ DS-213a",
272,,,"booksáp ‘sober up, come to’ KM-1891",
273,,,,
274,,,"ksápa ‘wise, prudent’ R-298a",
275,,,sabáži ‘suddenly’ JOD,
276,,,"θabéda ‘smart, wise’ LWR-30",
277,,,,
278,,,,
279,,,,
280,†sábe,,†sábe “çábe” ‘be careful’ SW-34,
281,†sapé,,†sapé “çabé” ‘be cautious’ LF-29a,
282,,,,
283,,,,
284,,,,
285,,cf. |dákhala| ‘freeze’ (?),"khála ‘solid, hard’ cf. dákhala ‘freeze’ (?)",
286,,,bikhá ‘rub smooth’ JOD,
287,,,"waká ‘scour, shine’ KM-3335",
288,,,,
289,,B-stem,bükhábe (B-stem),
290,,,,
291,,,,
292,†pükhá,,†pükhá “biká” ‘wipe out’ LF-27a,
293,†bíkha,,†bíkha “bíka” SW-189,
294,,,,
295,,,"-kíšoʔš, pa- ‘he wiped it off’ C",
296,,,"-kíšoʔš, ka- ‘she swept it’ C",
297,,,"-kíšoʔš, ra- ‘he brushes it with foot’ H-112",
298,,,"-kíšoʔš, ru- ‘he rubs it’ H-112",
299,,,íkakiška ‘broom’ H-112,
300,,,,
301,,,"-kįžA, ipá- ‘rub, as one’s eyes with the hands’ B-230",
302,,,,
303,,,"bá•ñį, báñį• ‘year, winter’ RR",
304,,,wéra Spr8,
305,,,wáya Sp-105,
306,,,"wayα̨, we’ra, we’ru Ss",
307,,,,
308,,,"báalaa ‘winter’ GG-20, DEC-37",
309,,,waníyetu ‘year; winter’ C,
310,†wa•ną•i,,"†wa•ną•i “wāneñi, wānēi”",
311,,,,
312,,,,
313,†aną́,|-ḳaⁿ| ‘when’,"†aną́ “anáⁿ, anaⁿḳáⁿ” (|-ḳaⁿ| ‘when’) DS-173a",
314,,,mąąnį́ KM-1992,
315,,,,
316,,,"waníyetu ‘winter, a winter; year’ R-524b",
317,,,wá•ra• ‘winter’ J,
318,,,,
319,,,wą́•rąʔ ‘winter’ C,
320,,,,
321,,,ománikka ‘year’ JOD,
322,†a•ną́,,†a•ną́ “ānó” DS-321a; Ssf,
323,,,omą́yįkka ‘year’ RR,
324,,,,
325,†omąįhka,,†omąįhka “umoⁿiⁿḳa” ‘year’ LF-173b,
326,,,,
327,,,omą́įkka ‘year’ JEK,
328,,,,
329,,,á•hu ‘wing’ RR,
330,,,áhi ‘wing’ JOD,
331,,,“aho” ‘wing’,
332,,,aahú KM-7,
333,,,,
334,,,"áhü, áhü hį ‘wing’",
335,,,,
336,,,,
337,†áhü-hį,,†áhü-hį “áhiⁿ” LF-10b,
338,,,á•hi ‘wing’,
339,,,,*xú-
340,,,ą́•pxa ‘wing’ C,
341,,,xupáhu ‘wing’ C,
342,,,tcĭshóᵐpka ‘wing’ DS-329a,
343,†są́pka,,†są́pka “sóᵐpka” ‘fish fin’ DS-329a,
344,†nəsą́pka,unglossed,†nəsą́pka “nạsóᵐpka” (unglossed) Ssf,
345,†xupáhu,,†xupáhu “ḣupáhu” ‘arm; wing’ R-168b,
346,,,,
347,,,ixpá ‘wing’ J,
348,,,,
349,,,"iaxpá ‘wing’ GG-71, DEC-3",
350,,,,
351,,,,
352,,,"itáglaxwe ‘with the wind, the wind in the back’ B-237",
353,†(i-)xyų́we,,"†(i-)xyų́we “xyuⁿwe, ixyúⁿwĕ” ‘roar or whistle, as the wind does’ DS-226a",
354,†šų́we,,"†šų́we “cúⁿwe” ‘whistle, as the wind does’ DS-226a",
355,,,“ítahdaḣbe” ‘with the wind’ R-211a,
356,,,"xaxo•ri ‘sickly, coughing, breathing noisily’ J (?)",
357,,,,
358,,,,
359,,,šéʔ ‘wind’ C,
360,†ashú•se,,"†ashú•se “ashū´se” ‘wind’ DS-321b, Ssf",
361,†ashú•se,,“áshusĕ” ‘it blows’ DS-321b,
362,†xuxé,,"†xuxé “xûxwĕ´, xûxwĕ´di, xuxé” ‘wind’ DS-225a",
363,,,,
364,,,húci ‘wind’ J,
365,,,"hučí ‘wind’ GG-48, DEC-6",
366,,,,
367,,,,
368,,,,*taté
369,,,ttáttiǫhé JOD,
370,,,thaté ‘wind’ C,
371,,,"mą́įtaǰéhi ‘wind, storm, air’ KM-2076",
372,,,čaač ‘air’ KM-118,
373,,,,
374,,,,
375,†thaté,,†thaté “taté” ‘wind’ R-462b,
376,,,ttaǰé ‘wind’ RR,
377,,,tháǰe ‘wind’ C,
378,,,thá•ǰe ‘wind’ RR,
379,,,,
380,,,,
381,†htacé,,"†htacé “ṭadsé” ‘winds, air’ LF-136b",
382,,,,
383,,,“tadé” SW-118,
384,,,,
385,,,wóhi ‘win something’ JGT92-281,
386,,,uhí ‘win’ JGT92-281,
387,,+ causative,ohí + causative ‘win’ B-373a-b,
388,,,"hohí ‘win, cheat’ KM-1196",
389,,,,
390,,,"ohíya ‘get the better of, overcome, gain, win, acquire in a game’ R-352a",
391,,,ó•hi ‘win a game or prize’ RR,
392,,,,
393,,,,
394,†ohi,,"†ohi “uhi” ‘win, defeat, overcome’ LF-170b",
395,,,,
396,†ohi,,†ohi “uhi” SW-188,
397,,,,
398,,,čʔége ‘lazy’ JGT92-9,
399,,,"tʔéka, di- ‘weaken an animal or infant’ RR",
400,,,"tʔéka, ną- ‘injure by kicking or trampling’ RR",
2452,,,,
401,,,"tʔeča ‘tepid, lukewarm’ B-504a",
402,,,tʔeek ‘be rotten’ KM-3030,
403,,,taatʔék ‘wilt’ KM-3034,
404,,,"tʔék, gi- ‘be bruised’ KM-416",
405,,,"tʔék, taa- (‘wilt’, Lk-20.21fb) KM-3089",
406,,,,
407,,,,
408,,,,
409,,,,
410,†itʔéča,,"†itʔéča “it’éća” ‘slightly warm, lukewarm, tepid’ R-212b",
411,,,cʔéga ‘lazy’ RR,
412,,,"cʔéga, ba- ‘wither, cause by rooting up’ RR",
413,,,"cʔega, bá- ‘wither, to cause by cutting’ RR",
414,,,"cʔéga, bü- ‘numb, make by sitting on’ RR",
415,,,"cʔega, dá- ‘withered, killed, injured by heat’ RR",
416,,,"dacʔega, bá- ‘wilt, cut and cause to’ RR",
417,,,"dácʔega, ba- ‘wilt, cause by rooting up’ RR",
418,,,"dacʔega, dá- (JOD) ‘spoil, as hot weather does meat’ RR",
419,,,"dácʔega, ga- ‘dry a little by blowing on’ RR",
420,,,"cʔéga, ya- ‘wither from being gnawed on, as a plant’ RR",
421,,,"cʔéga, yü- ‘make lazy’ RR",
422,,,,
423,,,,
424,†tácʔeka,,†tácʔeka “dáṭsʔega” LF-356a,
425,,,,
426,,,tʔéga ‘lazy’ JOD1890:176.2,
427,,,,
428,,,luxí Marsh,
429,,,rúxi JGT92-281,
430,,,díɣe ‘willow’,
431,†ayux-,,"†ayux- “ayuxú, áyuxudí” ‘sweet gum tree’ DS-296a",
432,,,"ruuɣí ‘willow’ Gilmore-1919:21, KM-2746",
433,,,,
434,,,"yǘ•ɣe, yǘ•ɣe ziga ‘willow, hard willow’ RR",
435,,,,
436,,,,
437,,,,
438,,,lu•xwé• RR,
439,†ðǘɣe,,†ðǘɣe “thiúxe” ‘willow’ LF-150b,
440,†ðíɣe,,†ðíɣe “thíxe” ‘Salix sp.’ Gilmore-1919:91,
441,,,,
442,,,wayį́ ‘to command’,
443,,,"wažį́ ~ wážǫį́ ‘will, patience’ JOD",
444,,,"wačhį́ ‘think, purpose’ B-512b",
445,,,"wažą ‘purposeful, be important’ Marino-408",
446,,,,
447,†wačhį,,"†wačhį “waćíŋ” ‘think, purpose’ R-495a",
448,,,wažį́ ‘will’ RR,
449,,,,
450,,,,
451,†wažį́,,"†wažį́ “wazhíⁿ” ‘own will, volition’ LF-210b",
452,,,,
453,†wažį́,,†wažį́ “wazhiⁿ” ‘will’ SW-188,
454,†athą́ta,,†athą́ta at‹ạ́nta ‘wildcat’ DS-322a,
455,†tą-čį́ki,,†tą-čį́ki “tạⁿtcĭ´ñki” ‘little cat’,
456,,,,
457,†tątǫ,,"†tątǫ “taⁿtoⁿ ” (archaic), taⁿta ‘panther’ DS-272b",
458,†tątǫ,,taⁿtoⁿná ‘Ancient of Panthers’ D S-272b,
459,,,udwą́ Marsh,
460,,,igmų́ ‘cat’ B-215a,
461,,,igmú ‘cat’ EJ,
462,†talúskik,,†talúskik “dalúsgịk’” ‘cat’ Sapir,
463,†tmǫ́•-,,"†tmǫ́•- “tmotcká, tûmótcka, tûmotck” ‘wildcat’",
464,†tmǫ́•-,,tmó̄tc kdĕxí ‘spotted wildcat’ DS-277a,
465,,,wiičą́wą KM-3648,
466,,,,
467,,inmú- in compounds,"ínmu ‘cat, generic’ R-200b; inmú- in compounds",
468,,,ilǫ́ga ‘bobcat’ RR,
469,,,ilǫ́žįga ‘domestic cat’,
470,,,,
471,,,"ítupa• ‘wild cat, tiger, lion’ J (?)",
472,,,,
473,,,,
474,,,iishpíiwishka ‘cat’ GG (?),
475,†įlǫ́ka,,"†įlǫ́ka “iⁿgthóⁿga” LF-75b, 76a",
476,,,,
477,†įgðǫ́,,†įgðǫ́ “iⁿgthúⁿ” FLF-103,
478,,,,*wų́ha
479,,,kų́ʔhe ‘his wife’ C,
480,,,,
481,,,ua ‘wife’ J,
482,,,,
483,,,"uá ‘wife’ GG-58, DEC-23",
484,,,,
485,,,ugráxʔa ‘yell’ JGT92-286,
486,,,"xʔa, okdá- ‘whoop vi’ RR",
487,,,"xʔaxʔá, okdá- ‘whoop, give the scalp yell’ RR",
488,,,xʔayéla ‘making a noise as hail’ B-197a,
489,,,xʔą́hąska ‘long-winded’ B-197a (?),
490,,,xʔą́hąska hoxpapi ‘whooping cough’ B-197a (?),
491,,,"iolákʔakʔá ‘whoop, war, or scalp yell’",
492,,,,
493,,,oðágðaʔáʔa ‘give the scalp yell’ JOD1890:16,
494,,,,
495,,,,
496,†péką,,†péką “békoⁿ” ‘who is it? who?’ DS-323a,
497,†-pé,,†-pé {in} düpä´ ‘person’ KS-172 (?),
498,†-pé,,"†-pé {in} nepä´ ‘somebody, someone, something’ KS-171 (?)",
499,†-pé,,"-pé- {in} depéra ‘other, another’ KS-173 (?)",
500,†-pé,,-pé- {in} nəpéra ‘one and (the) other KS-172 (?),
501,†-pé,,-pé- {in} “nəpérakí•ye” ‘one and the other KS-173 (?),
502,†-pé,,"-pé- {in} nepéra ‘other, another’ KS-173 (?)",
503,†-pé,,-pé {in} “yén depé-agré” ‘some (plural)’ KS-207 (?),
504,†-pé,,,
505,†-pé,,,
506,†-pé-,,"†-pé- {in} “káwa tŭpéta” ‘whose?’ DS-204a, DS-282a",
507,,,pee- {in} peežé ‘who’ KM-2472,
508,,,,
509,†be ~ †bé•ʔe,,†be ~ †bé•ʔe ‘who’ RR,
510,,ʔ question marker,-pé•- {in} ta•pé•ʔ ‘who is it?’ J ʔ ‘ques. marker’,
511,,ʔ question marker,-pé•- {in} ta•pé•ri ni•ki•wéʔ ‘who told you?’ J ʔ ‘ques. marker’,
512,,,-pé•- {in} tapé•wa ‘who could it be?’ J,
513,,,,
514,,,-pée {in} sapée ‘who’ GG-66,
515,†pe,,†pe “be” ‘whoever’ LF-26,
516,†pé-,,†pé- {in} bé-thiⁿ-ge ‘nobody’ LF-26,
517,†-pé-,,†-pé- {in} e-béa ‘who is it? LF-40,
518,,,-be {in} ébe ~ ebé ‘who’ JEK,
519,,,wašíču ‘white man’,
520,,,,
521,,,wašíču ‘white man’,
522,,,,
523,,,,*ská
524,,,ská ‘white’ RR,
525,,,ská C,
526,,,"ská, ka- ‘bleach by striking or dragging; to become clear, to clear off, as clouds, smoke etc.’ B-288",
527,,,"ská, na- ‘bleach, get white’ B-356",
528,,,"ská, pa- ‘bleach; to rub and make white’ B-433",
529,,,"ská, wo- ‘wash off, as rain does whitewash’ B-607",
530,,,"ská, ya- ‘make clean with the mouth’ B-626",
531,,,"ská, yu- ‘whiten, cleanse, to gather with the fingers’. B-649",
532,,,sgáa ‘white’ KM-2818,
533,,,"sgá, raa- ‘light (in color)’ KM-2529",
534,,,,
535,,,,
536,,,θká PAS,
537,,,ská ‘white’ RR,
538,,IO and OT,θká• ‘white’ RR (IO and OT),
539,,,,
540,,,,
541,,,ská ‘white’ RR,
542,,,,
543,,,"ská ‘white’ C, RR",
544,,,,
545,,,,*są́; *wsą́hą
546,,,są́ ~ są́hą ‘white in the distance’ JOD,
547,,,są ‘whitish’ C,
548,,,"θą ‘bright, clear’ Marsh",
549,†afhą́,,†afhą́ “afháⁿ” DS-319a,
550,†asą́i,,"†asą́i “asùñi (N), asañi, asai, asei, asáñi, asāi, aséi” H.",
551,,,"asąʔ MRH, MS",
552,,,"“sáⁿ, asáⁿ” DS-251a",
553,,,"są́ą ‘white, pale’ KM-2801",
554,,,,
555,,,są ‘whitish’ PAS,
556,,,są́ ‘distant white’ RR,
557,,,"átakE “átaki” ‘white, pale, bleached, clear’ J (?)",
558,,,,
559,,,,
560,,,,
561,,,"táachii ‘clear, bright’ GG-57",
562,,,,
563,,,,
564,†są́hą,,†są́hą “çóⁿhoⁿ” ‘resembling white’ LF-32a,
565,,,,
566,,,są ‘whitish’ C,
567,,,,
568,,,"šopkáʔ ‘prairie dog, groundhog, gopher’ C",
569,,,"sópoʔš ‘it squeaks, chirps, whistles’ H-214",
570,,,"sópsope ‘sparrow, cricket’ H-214",
571,,,,
572,,,có•pE ‘chirp’ J,
573,,,,
574,,,čóopi ‘squeak’ RG,
575,,,,
576,,,,
577,,,"sópoʔš ‘it squeaks, chirps, whistles’ H-214",
578,,,"sópsope ‘sparrow, cricket’ H-214",
579,,,žo ‘whistle as a man does’ B-267b,
580,,,wiižóžoč KM-3718,
581,,,,
582,†žo,,†žo ‘whistle as a man does’ R-652b,
583,,,iyóǰe LWR-76,
584,,,,
585,,,,
586,,,dážotté ‘whistle shrilly’ JOD,
587,†žocé,,†žocé “zhodsé” ‘whistle’ LF-224b,
588,,,,
589,,,,
590,,,,
591,,,"šopkáʔ ‘prairie dog, groundhog, gopher’ C",
592,†fə́tfəte,,†fə́tfəte “fạ́tfạte” ‘to whistle’ DS-323b,
593,†soti,,"†soti “sâde, sâdĕdí, sâdedí” ‘whistle as a man or boy’ DS-250b",
594,†soti,,“sĭsotí” ‘type of cricket’ DS-251a,
595,,,mąsóǰe ‘flute’ RR,
596,,,,
597,,,có•pE ‘chirp’ J,
598,,,,
599,,,,
600,,,"čóopi ‘chirp’ GG-39, DEC-93",
601,,,,
602,†ðasósoe,,†ðasósoe “thaçúçue” LF-140a,
603,†mąsóce,,†mąsóce “Moⁿço´tse gaxa” ‘Whistle Creek’ LF-97,
604,†zode,,†zode “zude” SW-187,
605,,,,
606,,,"“ićápsiŋte” ‘something to whip with, a whip’ R-174b",
607,,,"psį́c, gi- ‘whip, v.; spank, v.’ KM-373",
608,,,,
609,,,,
610,,,"psįte, šųkíča- ‘a horse whip’ B-469",
611,,,"psį́psįta, yu- ‘whip’ B-648",
612,,,"psį́ta, ka- ‘whip, flog; to correct, as a child by whipping’ B-287",
613,,,"-yą- {in} yéyąska ‘size, this size, this large’ RR",
614,,,"-yą- {in} gašéyąska ‘of a certain size, it’s that big’ RR",
615,,,"-yǫ- {in} háyǫska ‘how big, what size?’ RR",
616,,,"-yǫ- {in} góze éyǫska (JOD) ‘equal in size, as large as, same size’ RR",
617,,,-yǫ- {in} šéyǫska ‘that size. it was that big’ RR,
618,,,,
619,†-ðą-,,†-ðą- {in} á-thoⁿ-çka a(?) ‘of what size is it? how large?’ LF-16b,
620,†-ðą-,,†-ðą- {in} thé-thoⁿ-çka ‘this size’ LF-144,
621,†-ną-,,†-ną- {in} “ténaska” ‘this large’ DS-273a,
622,,,,
623,,,,
624,"†ʔą, ru-",,"†ʔą, ru- ‘lift together and weigh; to heft’ LWR-25",
625,,,,
626,,,"ʔą́, hawa- ‘put on one’s shoulder’ KM-711",
627,,,"ʔą́, nąą- ‘weigh out a portion, v.tr.; weigh a certain amount, v.intr.’ KM-2112",
628,,,"ʔą́, ru- ‘carry; lift up; hold’ KM-2649",
629,,,"ʔą́, gi-, giʔąʔą́ ‘bounce up, bounce up and down’ KM-316",
630,,,,
631,,,,
632,,,,
633,,,,
634,,,kaų́kaka ‘be jolted or bounced up and down’ B-295 (?),
635,,,,
636,,,wé•θą ‘weaving’ JDH,
637,,,nąxʔésą ‘scalp lock plaited’,
638,,,"sų ‘plait, braid’ B-458a",
639,,,"wasų ‘braid in strings, as corn or hair’ B-550a",
640,,,"onázų ~ onásų ‘braid together, sew or weave’ B-820",
2578,,,,
641,†nąčǫ́,,"†nąčǫ́ “tcoⁿ, natcóⁿ” ‘plait’ DS-265b",
642,,,hakisų́ ‘braid’ KM-609,
643,,,,
644,,,"“soŋ” ‘plait or braid, as hair or corn’ R-438a",
645,†wasų,,"†wasų “wasóŋ” ‘braid in strings, as corn or hair’ R-535b",
646,,,są ‘plaited’,
647,,,,
648,,,,
649,†hosą,personal name,†hosą “Hoçoⁿ” ‘Braided-fish’ (personal name).,
650,,,,
651,,,ákhibésą ‘fold’ JOD1890:152,
652,,,,
653,,,,
654,,,"zą́tte, ka- ‘weave, braid’ RR",
